哈哈镜（北京西路店）,http://waimai.meituan.com/restaurant/144891882679308009,月售0单,15901754161,上海市成都北路716号
家常菜,http://waimai.meituan.com/restaurant/144795928814970297,月售746单,021-62994484,上海市静安区安远路135号底层东B区
一品粥,http://waimai.meituan.com/restaurant/144686196695522148,月售479单,66288559,长兴路161号
绝味鸭脖（中华路2店）,http://waimai.meituan.com/restaurant/144779835572527783,月售0单,13774400790,上海黄浦区中华路9号（靠近东门路）
阿文夜市豆浆油条,http://waimai.meituan.com/restaurant/144684006262231481,月售09单,13661459002/13162236717,西藏南路251号
元素果园（鲜果切）,http://waimai.meituan.com/restaurant/144928024829123323,月售5单,15000625870,黄浦区石潭弄141号
彭浦第一炸,http://waimai.meituan.com/restaurant/144951655739200643,月售5单,18721059156/13012836978,海口路17号
A梦Eamonn`s(共新店),http://waimai.meituan.com/restaurant/144824632081424294,月售54单,021-66075363/021-66078657/021-66075516,共和新路480号一层
天香麻辣烫(汉口路店),http://waimai.meituan.com/restaurant/144768612822985334,月售48单,15214364893,汉口路347
正宗四川川香阁麻辣烫,http://waimai.meituan.com/restaurant/144841326619267571,月售0单,18217226275,上海市黄浦区广西北路495号底层前间
小胖子烧烤羊肉馆,http://waimai.meituan.com/restaurant/144766229116145122,月售5单,13167222269,上海市虹口区溧阳路1114号（四平路溧阳路口麦当劳侧门）
蜜哆哆炸鸡（人民广场店）,http://waimai.meituan.com/restaurant/144900154786367183,月售24单,17321316806/02163030083,浙江中路142号-144号底层
蜜哆哆炸鸡（西江湾路店）,http://waimai.meituan.com/restaurant/144932693458606035,月售87单,17321385257,西江湾路126号
重庆麻辣烫（虹口店）,http://waimai.meituan.com/restaurant/144915681093106089,月售61单,15821605229,上海市虹口区溧阳路1286号
淮南牛肉汤（太阳山路店）,http://waimai.meituan.com/restaurant/144907855662701387,月售78单,18721723546,上海市静安区太阳山路174号
三哥广东肠粉王（煲仔饭）,http://waimai.meituan.com/restaurant/144812795151573803,月售07单,021-56613681,四川北路2099号
上吉甫黄焖鸡米饭,http://waimai.meituan.com/restaurant/144721351002845528,月售9单,15801820682,上海市静安区新疆路518号
小司烧烤地带（共和新路店）,http://waimai.meituan.com/restaurant/144870184504539814,月售0单,13564908323,上海市静安区共和新路与芷江西路交叉口西南50米
牛蛙饭,http://waimai.meituan.com/restaurant/144732865810193364,月售0单,13282375969,复兴东路789号3009室
年轻的烧烤店,http://waimai.meituan.com/restaurant/144720517779206586,月售8单,13916037594,天通庵路570号
豆豆天香麻辣烫,http://waimai.meituan.com/restaurant/144895013710487841,月售10单,18321357342,上海市静安区威海路700号后门
