彭德楷黄焖鸡米饭明通路店,http://waimai.meituan.com/restaurant/144862599592290588,月售92单,18812265098,官渡区明通路店
德克士（天浩店）,http://waimai.meituan.com/restaurant/144703638557700796,月售20单,0871-63146626,云南省昆明市五华区人民中路11号天浩大厦地下一层1号
火王海鲜烧烤,http://waimai.meituan.com/restaurant/144955985066225652,月售1单,18987177716/13808702712,昆明市盘龙区伍家庄（人民东路38-40号）
德克士(金马碧鸡店),http://waimai.meituan.com/restaurant/144759455952711726,月售01单,0871-65422277,云南省昆明市金碧路金马坊金碧商城JB1-1-2德克士餐厅
南疆佘老倌辣螃蟹23年老店,http://waimai.meituan.com/restaurant/144699167496796243,月售54单,18666213170/15687881925,云南省昆明市五华区蔡家村A5、A15号
江岸小贺海鲜坊（辣螃蟹、锡纸包烧）,http://waimai.meituan.com/restaurant/144882828888293086,月售09单,15925137054,昆明市五华区江岸小区盈江路中马村15号商铺附近
蟹满堂,http://waimai.meituan.com/restaurant/144790366832347811,月售4单,15887058521/15887833626,云南省昆明市官渡区长村村西7号（太和街塘双路59号）
金太阳香辣蟹火锅总店,http://waimai.meituan.com/restaurant/144754422251040068,月售17单,087165381830,云南省昆明市五华区凤翥街153号
眼镜海鲜烧烤,http://waimai.meituan.com/restaurant/144754482380599312,月售02单,13619695862,昆明市官渡区人民东路与中营路交叉口处(探矿厂游泳馆对面)
建水烧烤（20年老店）,http://waimai.meituan.com/restaurant/144753790890862279,月售20单,15911724676/13529297850,昆明市五华区学府路336号云上城对面冶金学校旁
川粤快餐店,http://waimai.meituan.com/restaurant/144820843920241118,月售1单,14736565965/17606995055,云南省昆明市五华区宝善街祥云美食城3楼A-15
小眼睛烧烤,http://waimai.meituan.com/restaurant/144853043290084714,月售6单,13577088474,云南省昆明市五华区建设路和睦居170号8幢
眼镜烧烤小吃（清真）,http://waimai.meituan.com/restaurant/144890727333106450,月售5单,15368011359,天宇花园1BC08号商铺
PIZZA芝根芝底（宝善街店）,http://waimai.meituan.com/restaurant/144885242659889210,月售11单,18108858219/087163310012,晓东街36号1-2层
蕈味园小吃店/烧烤/盖饭,http://waimai.meituan.com/restaurant/144759481722512662,月售8单,68213738,滇缅大道176#（中英安琪儿医院正对面）
蟹大大香辣蟹（新鲜为王）,http://waimai.meituan.com/restaurant/144807392082693836,月售88单,15198957308/15911806970,云南省昆明市五华区武成路旺角商城B区底层21号商铺
石屏火珠龙-风味烧烤,http://waimai.meituan.com/restaurant/144688825215496920,月售7单,13759161388/13759161388,建设路180号龙鼎财智中心3幢1层2-3号、5号（云南省昆明市五华区建设路180号）
遵义虾子羊肉米线（白龙路店）,http://waimai.meituan.com/restaurant/144768887700903344,月售48单,0871-65728303,环城东路123号附8-9号
好好吃饭（清真）,http://waimai.meituan.com/restaurant/144856341824961286,月售85单,15752986808,顺城街西侧新月花园B幢1层30号
昭通串串香烧烤,http://waimai.meituan.com/restaurant/144791990329983389,月售6单,15287179810,昆明市西山区环城西路359号
德克士（云纺店）,http://waimai.meituan.com/restaurant/144866937509268695,月售20单,087164134758,环城南路555号
连锁锡纸包烧-辣螃蟹,http://waimai.meituan.com/restaurant/144742142939533476,月售1单,13354984174,云南省昆明市五华区西园北路331号
重庆帅哥辣螃蟹-万州烤鱼,http://waimai.meituan.com/restaurant/144761831069637885,月售6单,18213554735,昆明市西山区西华路22号重庆帅哥辣螃蟹-万州烤鱼
如意私房小厨（主营小龙虾）,http://waimai.meituan.com/restaurant/144795984649527337,月售7单,087163939988/13708446197,新迎小区文艺路新德巷3号
贺老五专业炭烧生蚝,http://waimai.meituan.com/restaurant/144707383769192837,月售8单,13577038569/18314584808,云南省昆明市盘龙区新宁巷3号1楼小吃城3号商铺
横行公子活鲜汇（原横行公子辣螃蟹）,http://waimai.meituan.com/restaurant/144950775270922716,月售6单,087165144155,云南省昆明市盘龙区白龙路引摊入市临时规范点B-10号摊位
广东潮汕海鲜砂锅粥,http://waimai.meituan.com/restaurant/144707203380578552,月售0单,15912557714/15368103680,西山区大观路衡器厂246号-5号
甘茶度,http://waimai.meituan.com/restaurant/144898956490463210,月售9单,18082704604,南强街94号附9号
蟹辣壹號／傣味简餐,http://waimai.meituan.com/restaurant/144753533192822214,月售5单,18288208311/18548918346,昆明市西山区福海福泰路60号铺面
必来客（昆明站店）,http://waimai.meituan.com/restaurant/144717816244779538,月售3单,087163525151,永平路4号（北京路与永平路交叉口西50米）
兄弟烧烤（白龙路店）,http://waimai.meituan.com/restaurant/144850092647531136,月售6单,13529278158,云南省昆明市盘龙区新宁巷3号1楼小吃城8号铺面
勺掂掂美食外送体验店,http://waimai.meituan.com/restaurant/144740613931198828,月售11单,087167277520,云南省昆明市五华区科业路84号
潮汕砂锅粥,http://waimai.meituan.com/restaurant/144929734226125150,月售2单,087163178139,金实小区华春园E号商网
原小西门昭通小黄牛肉串,http://waimai.meituan.com/restaurant/144770000097401439,月售7单,13708438265,昆明市环城西路35号
清水大闸蟹（和平村海鲜城）,http://waimai.meituan.com/restaurant/144858347574719490,月售0单,18314383840,吴井路和平村农贸海鲜综合广场16号（昆明市官渡区吴井路和平村农贸海鲜综合广场16号）
招牌鸡腿饭（环城北路店）,http://waimai.meituan.com/restaurant/144866628271609145,月售0单,18687904455,小厂村环城北路101号振峰生鲜超市9-2号（环城北路）
连锁独门串串,http://waimai.meituan.com/restaurant/144836623630105718,月售6单,18083827981,护国路45号
原山村上海小笼包,http://waimai.meituan.com/restaurant/144822961339136629,月售85单,087167372580/15368047850,云南省昆明市盘龙区上东城10栋1层商铺4室
香辣活螃蟹,http://waimai.meituan.com/restaurant/144841949389522929,月售3单,18587256220,云南省昆明市盘龙区联盟路铁附6、7号商铺
蒙自土鸡过桥米线,http://waimai.meituan.com/restaurant/144734094170836786,月售15单,18487358968,云南省昆明市西山区白马东区37-3幢1单元101号
小西门南疆辣螃蟹,http://waimai.meituan.com/restaurant/144922200853496892,月售2单,18388252707/18787453649,昆明市五华区环城西路29号
小斌厨房（烧烤、炒品、煮品）,http://waimai.meituan.com/restaurant/144697256236337960,月售0单,13577049775,昆明市盘龙区新迎小区田园坊小吃城A座6号
遍地烤建水风味,http://waimai.meituan.com/restaurant/144882906197684283,月售5单,15198745225,昆明市盘龙区新迎小区新宁巷3号1楼小吃城1号
清真正宗昭通小刘小肉串,http://waimai.meituan.com/restaurant/144711030196464300,月售8单,13529437496,新宁巷3号1楼小吃城5号铺面
老周烧烤（20年老店）,http://waimai.meituan.com/restaurant/144829515459236392,月售0单,18313735878,昆明市西山区如意大厦旁
忘江湖（昭通小肉串）,http://waimai.meituan.com/restaurant/144797041211488957,月售7单,15287165290,新宁巷3号1楼小吃城17号铺面
